evidence_condition,supports_fcr,refutes_fcr,difference,ci_lower,ci_upper,p_value
present,0.005,0.005674232309746329,-0.0006742323097463287,-0.007014686248331108,0.005661337338673788,0.8376162383761624
absent,0.006333333333333333,0.006675567423230975,-0.0003422340898976417,-0.006682688028482421,0.005663996439697373,0.9216078392160784
