label,evidence_condition,mean,count,fcr_percent
REFUTES,absent,0.006666666666666667,750,0.6666666666666667
REFUTES,present,0.005666666666666667,750,0.5666666666666667
SUPPORTS,absent,0.006333333333333333,750,0.6333333333333333
SUPPORTS,present,0.005,750,0.5
