evidence_condition,emotion,n,fcr,ci_lower,ci_upper
present,positive,1500,0.004666666666666667,0.0013333333333333333,0.008
present,negative,1500,0.006,0.0026666666666666666,0.01
present,fear,1500,0.006,0.0026666666666666666,0.01
present,anger,1500,0.004666666666666667,0.0013333333333333333,0.008666666666666666
absent,positive,1500,0.007333333333333333,0.0033333333333333335,0.012
absent,negative,1500,0.006,0.0026666666666666666,0.01
absent,fear,1500,0.006666666666666667,0.0026666666666666666,0.011333333333333334
absent,anger,1499,0.00600400266844563,0.00266844563042028,0.01000667111407605
