emotion,n,accuracy_present,accuracy_absent,difference,ci_lower,ci_upper,p_value,evidence_helps,evidence_hurts
neutral,1500,0.968,0.9446666666666667,0.023333333333333317,0.014,0.03333333333333333,0.00019998000199980003,45,10
positive,1500,0.9673333333333334,0.9466666666666667,0.020666666666666722,0.011333333333333334,0.03,9.999000099990002e-05,42,11
negative,1500,0.9686666666666667,0.9466666666666667,0.02200000000000002,0.012666666666666666,0.032,9.999000099990002e-05,44,11
fear,1500,0.9673333333333334,0.9446666666666667,0.022666666666666724,0.013333333333333334,0.03266666666666666,9.999000099990002e-05,45,11
anger,1499,0.9673115410273516,0.9439626417611742,0.023348899266177447,0.014009339559706471,0.0333555703802535,9.999000099990002e-05,46,11
